product_code,device_name,device_class,medical_specialty,medical_specialty_description,regulation_number,definition,gmp_exempt_flag,submission_type_id
HOA,"Compressor, Orbital",1,OP,Ophthalmic,886.4350,,N,4
QGN,Lateral Flow Immunochromatography Assay For Host Infection Biomarkers,2,MI,Microbiology,866.3230,"A device to detect and measure non-microbial analytes to aid in the detection and identification of localized human infections is identified as an in vitro device intended for the detection and qualitative measurement, quantitative measurement, or both of one or more non-microbial analytes in human clinical specimens to aid in the assessment, identification, or both of a localized microbial infection when used in conjunction with clinical signs and symptoms and other clinical and laboratory findings.",N,1
POZ,Biopsy Needle Kit,2,GU,"Gastroenterology, Urology",876.1075,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
KQP,"Fluorescent Proc. (Qual.), Galactose-1-Phosphate Uridyl Transferase",2,CH,Clinical Chemistry,862.1315,,N,1
QAB,Pacing System Analyzer,2,CV,Cardiovascular,870.3605,"The device is intended to supply an accurately calibrated, variable pacing pulse for measuring the patients pacing threshold and intracardiac R-wave potential. A pacing system analyzer (PSA) may be a single, dual, or triple chamber system and can simultaneously deliver pacing therapy while testing one or more implanted pacing leads.",N,1
RBB,"Television Receiver, General Purpose, Color",N,,Unknown,,"An electronic product designed to receive and, using a color cathode ray tube, to display a television picture in colors from broadcast, cable, video disk player, video recorder, computer or closed circuit television signals.",Y,
OLL,Septal Stapler/Absorbable Staples,2,SU,"General, Plastic Surgery",878.4750,"To approximate soft tissues by means of absorbable staples delivered via a pre-loaded stapler delivery system for use during nasal septal surgery, with or without cartilage reinserted.  To connect internal nasal tissues to aid healing during nasal septum reconstruction.",N,1
KNN,"Components, Wheelchair",1,PM,Physical Medicine,890.3920,,N,4
JSB,"Culture Media, Vitamin Assay",1,MI,Microbiology,866.2350,,N,4
IRA,"Hand, External Limb Component, Mechanical",1,PM,Physical Medicine,890.3420,,Y,4
QCZ,"Mechanical And Enzymatic Autologous Skin Processor For Cell Suspension, With Applicator",3,,Unknown,,Intended to enable clinicians to prepare an autologous skin cell suspension for application to burn injuries for use when autografting is indicated for definitive wound closure.,N,2
SCJ,"Ldt, Not Under A Targeted Enforcement Discretion Policy Described In Preamble To Ldt Final Rule",N,,Unknown,,Laboratory developed tests (LDTs) within the scope of the phaseout policy and not subject to a targeted enforcement discretion policy described in section V.B of the preamble to the LDT Final Rule (89 FR 37286).,N,7
PCM,Portable Liquid Oxygen Unit Stand,1,PM,Physical Medicine,890.5050,To assist the user with refilling a portable liquid oxygen tank from a reservoir unit by holding the portable liquid oxygen tank in an upright position.,N,4
KEY,"Stainer, Tissue, Automated",1,PA,Pathology,864.3800,,N,4
GNH,"Antigen, Fluorescent Antibody Test, Schistosoma Mansoni",1,MI,Microbiology,866.3600,,N,4
QWA,Cardiovascular Delivery Catheter System Positioning And Stabilization Device,1,CV,Cardiovascular,870.3955,"A cardiovascular delivery catheter system positioning and stabilization device is a platform device or a part of a platform device that aids the positioning and stabilization of delivery catheter systems during cardiovascular interventional procedures (e.g., transcatheter valvular interventions). The device only provides mechanical support and does not include any electrical or robotic components. The device may be for single use or reusable.",N,4
NAF,"Antigen(Complexed),Prostate Specific,(Cpsa)",3,,Unknown,,,N,2
JYY,"Rasp, Ear",1,EN,"Ear, Nose, Throat",874.4420,,N,4
CFJ,"Nad Reduction/Nadh Oxidation, Lactate Dehydrogenase",2,CH,Clinical Chemistry,862.1440,,N,4
JSF,"Culture Media, Single Biochemical Test",1,MI,Microbiology,866.2320,,N,4
KJB,"Apparatus, Roller",1,HE,Hematology,864.2240,,Y,4
